tick,timestamp,gas_read_ms,temp_read_ms,fusion_ms,actuation_ms,mqtt_publish_ms,total_loop_ms,budget_ok
594,14:52:30,0.014,0.001,0.018,0.008,0.001,0.043,True
595,14:52:30,0.032,0.003,0.038,0.01,0.003,0.087,True
596,14:52:30,0.015,0.001,0.017,0.009,0.002,0.043,True
597,14:52:30,0.016,0.001,0.022,0.007,0.002,0.05,True
598,14:52:30,0.012,0.001,0.014,0.007,0.139,0.175,True
599,14:52:30,0.017,0.001,0.019,0.01,0.002,0.05,True
600,14:52:30,0.016,0.001,0.015,0.009,0.001,0.075,True
601,14:52:30,0.039,0.003,0.048,0.013,0.003,0.11,True
602,14:52:30,0.03,0.002,0.044,0.012,0.003,0.092,True
603,14:52:30,0.02,0.002,0.021,0.009,0.002,0.054,True
604,14:52:31,0.015,0.001,0.015,0.007,0.002,0.042,True
605,14:52:31,0.031,0.003,0.034,0.012,0.003,0.084,True
606,14:52:31,0.017,0.001,0.017,0.009,0.001,0.047,True
607,14:52:31,0.018,0.001,10.192,0.011,0.002,10.225,True
608,14:52:31,0.017,0.001,5.103,5.075,0.002,10.2,True
609,14:52:31,0.016,0.001,0.017,0.01,0.002,0.047,True
610,14:52:31,0.013,0.001,0.022,0.008,0.002,0.078,True
611,14:52:31,0.037,0.003,0.045,0.013,0.003,0.102,True
612,14:52:31,0.026,0.002,0.031,0.01,0.002,0.073,True
613,14:52:31,0.014,0.001,0.015,0.008,0.002,0.041,True
614,14:52:32,0.014,0.001,0.014,0.009,0.001,0.039,True
615,14:52:32,0.024,0.002,0.028,0.01,0.002,0.067,True
616,14:52:32,0.015,0.001,0.016,0.009,0.002,0.043,True
617,14:52:32,0.015,0.001,0.017,0.01,0.002,0.046,True
618,14:52:32,0.014,0.001,0.014,0.009,0.002,0.041,True
619,14:52:32,0.016,0.001,0.016,0.008,0.002,0.043,True
620,14:52:32,0.014,0.001,0.015,0.008,0.001,0.081,True
621,14:52:32,0.035,0.003,0.048,0.014,0.004,0.105,True
622,14:52:32,0.019,0.002,0.022,0.009,0.002,0.056,True
623,14:52:32,0.016,0.001,0.026,0.008,0.002,0.054,True
624,14:52:33,0.012,0.001,0.013,0.007,0.001,0.035,True
625,14:52:33,0.022,0.002,0.028,0.009,0.002,0.064,True
626,14:52:33,0.014,0.001,0.016,0.008,0.001,0.042,True
627,14:52:33,0.015,0.001,0.016,0.008,0.002,0.042,True
628,14:52:33,0.014,0.001,0.017,0.009,0.001,0.043,True
629,14:52:33,0.016,0.001,0.017,0.011,0.002,0.047,True
630,14:52:33,0.013,0.001,0.015,0.008,0.001,5.156,True
631,14:52:33,0.031,0.003,5.1,0.017,0.003,5.155,True
632,14:52:33,0.021,0.001,0.027,0.011,0.002,0.065,True
633,14:52:33,0.018,0.001,0.021,0.014,0.002,0.058,True
634,14:52:34,0.032,0.002,0.035,0.013,0.003,0.088,True
635,14:52:34,0.022,0.002,0.028,0.011,0.003,0.066,True
636,14:52:34,0.02,0.001,0.021,0.01,0.002,0.056,True
637,14:52:34,0.019,0.002,0.022,0.01,0.002,0.057,True
638,14:52:34,0.021,0.002,0.022,0.01,0.002,0.058,True
639,14:52:34,0.018,0.001,0.024,0.011,0.002,0.059,True
640,14:52:34,0.016,0.001,0.018,0.009,0.002,0.115,True
641,14:52:34,0.041,0.003,0.052,0.015,0.003,0.116,True
642,14:52:34,0.027,0.002,0.035,0.011,0.003,0.08,True
643,14:52:34,0.019,0.001,0.023,0.011,0.002,0.058,True
