tick,timestamp,gas_read_ms,temp_read_ms,fusion_ms,actuation_ms,mqtt_publish_ms,total_loop_ms,budget_ok
832,14:52:54,0.03,0.002,0.036,0.011,0.003,0.084,True
833,14:52:54,0.029,0.002,0.034,0.009,0.002,0.078,True
834,14:52:54,0.017,0.001,0.021,0.008,0.002,0.05,True
835,14:52:54,0.017,0.001,0.017,0.009,0.002,0.047,True
836,14:52:54,0.015,0.001,0.017,0.009,0.001,0.044,True
837,14:52:54,0.014,0.001,0.015,0.01,0.002,0.043,True
838,14:52:54,0.015,0.001,0.019,0.009,0.002,0.046,True
839,14:52:54,0.017,0.001,0.018,0.009,0.002,0.048,True
840,14:52:54,0.018,0.001,0.028,0.009,0.002,10.187,True
841,14:52:54,0.031,0.002,5.104,5.072,0.003,10.215,True
842,14:52:55,0.03,0.002,0.041,0.012,0.003,0.089,True
843,14:52:55,0.022,0.001,0.025,0.013,0.002,0.065,True
844,14:52:55,0.016,0.001,0.016,0.009,0.002,0.044,True
845,14:52:55,0.016,0.001,0.026,0.008,0.002,0.053,True
846,14:52:55,0.014,0.001,0.015,0.009,0.001,0.042,True
847,14:52:55,0.014,0.001,0.015,0.009,0.002,0.042,True
848,14:52:55,0.016,0.001,0.026,0.008,0.002,0.055,True
849,14:52:55,0.015,0.001,0.016,0.009,0.001,0.043,True
850,14:52:55,0.017,0.001,0.019,0.008,0.002,0.105,True
851,14:52:55,0.041,0.003,0.051,0.014,0.003,0.115,True
852,14:52:56,0.032,0.003,0.042,0.013,0.003,0.094,True
853,14:52:56,0.019,0.001,0.019,0.01,0.002,0.052,True
854,14:52:56,0.017,0.001,0.03,0.008,0.002,0.059,True
855,14:52:56,0.016,0.001,0.015,0.009,0.002,0.044,True
856,14:52:56,0.015,0.001,0.016,0.008,0.001,0.043,True
857,14:52:56,0.014,0.001,0.02,0.008,0.001,0.046,True
858,14:52:56,0.016,0.001,0.022,0.008,0.002,0.049,True
859,14:52:56,0.015,0.001,0.016,0.007,0.001,0.041,True
860,14:52:56,0.015,0.001,0.016,0.007,0.001,0.084,True
861,14:52:56,0.04,0.004,0.049,0.016,0.003,0.114,True
862,14:52:57,0.025,0.002,0.031,0.011,0.002,0.073,True
863,14:52:57,0.02,0.001,0.03,0.011,0.002,0.064,True
864,14:52:57,0.016,0.001,0.019,0.009,0.002,0.047,True
865,14:52:57,0.015,0.001,0.02,0.008,0.002,0.046,True
866,14:52:57,0.015,0.001,0.017,0.008,0.002,0.043,True
867,14:52:57,0.015,0.001,0.015,0.008,0.001,0.041,True
868,14:52:57,0.017,0.001,0.02,0.009,0.002,0.049,True
869,14:52:57,0.026,0.002,0.028,0.01,0.002,0.069,True
870,14:52:57,0.029,0.003,0.034,0.011,0.003,0.147,True
871,14:52:58,0.038,0.003,0.045,0.013,0.003,0.105,True
872,14:52:58,0.042,0.003,0.046,0.013,0.003,0.109,True
873,14:52:58,0.041,0.003,0.063,0.027,0.003,0.139,True
874,14:52:58,0.024,0.002,0.051,0.025,0.002,0.106,True
875,14:52:58,0.017,0.001,0.021,0.008,0.002,0.05,True
876,14:52:58,0.016,0.001,0.021,0.008,0.002,0.049,True
877,14:52:58,0.016,0.001,0.016,0.008,0.002,0.044,True
878,14:52:58,0.015,0.001,0.018,0.008,0.002,0.045,True
879,14:52:58,0.015,0.001,0.018,0.008,0.002,0.044,True
880,14:52:58,0.015,0.001,0.025,0.022,0.002,0.118,True
881,14:52:59,0.037,0.003,0.044,0.013,0.003,0.101,True
882,14:52:59,0.028,0.002,0.032,0.01,0.002,0.076,True
883,14:52:59,0.018,0.001,0.019,0.01,0.002,0.052,True
884,14:52:59,0.016,0.001,0.018,0.008,0.002,0.045,True
885,14:52:59,0.016,0.001,0.017,0.01,0.001,0.046,True
886,14:52:59,0.015,0.001,0.023,0.009,0.002,0.051,True
887,14:52:59,0.015,0.001,5.081,0.009,0.002,5.108,True
888,14:52:59,0.015,0.001,0.018,0.009,0.001,0.046,True
889,14:52:59,0.016,0.001,0.016,0.009,0.001,0.044,True
890,14:52:59,0.015,0.001,0.026,0.025,0.002,0.132,True
891,14:53:00,0.037,0.003,0.045,0.013,0.003,0.104,True
892,14:53:00,0.029,0.003,0.031,0.012,0.002,0.078,True
893,14:53:00,0.016,0.001,0.017,0.01,0.002,0.047,True
894,14:53:00,0.02,0.001,0.036,0.011,0.002,0.071,True
895,14:53:00,0.018,0.001,0.019,0.012,0.002,0.054,True
896,14:53:00,0.018,0.001,0.025,0.011,0.16,0.218,True
897,14:53:00,0.02,0.002,0.027,0.01,0.002,0.062,True
898,14:53:00,0.019,0.001,0.019,0.011,0.002,0.054,True
899,14:53:00,0.019,0.002,0.026,0.01,0.002,0.059,True
900,14:53:00,0.019,0.001,0.024,0.011,0.002,0.108,True
901,14:53:01,0.045,0.004,0.056,0.018,0.004,0.129,True
902,14:53:01,0.033,0.002,0.04,0.013,0.003,0.092,True
903,14:53:01,0.021,0.002,0.029,0.011,0.002,0.067,True
904,14:53:01,0.021,0.002,0.037,0.034,0.005,0.101,True
905,14:53:01,0.02,0.001,0.027,0.014,0.002,0.067,True
906,14:53:01,0.018,0.001,0.02,0.01,0.002,0.053,True
907,14:53:01,0.016,0.001,0.017,0.01,0.002,0.048,True
908,14:53:01,0.016,0.001,0.028,0.01,0.002,0.058,True
909,14:53:01,0.015,0.001,0.031,5.056,0.002,5.106,True
910,14:53:01,0.014,0.001,0.019,0.01,0.002,5.207,True
911,14:53:02,0.033,0.003,9.786,0.015,0.003,9.842,True
912,14:53:02,0.016,0.001,0.027,0.023,0.002,0.07,True
913,14:53:02,0.015,0.001,0.015,0.007,0.001,0.041,True
914,14:53:02,0.014,0.001,0.015,0.008,0.002,0.042,True
915,14:53:02,0.013,0.001,0.016,0.008,0.001,0.04,True
916,14:53:02,0.013,0.001,0.016,0.007,0.001,0.039,True
917,14:53:02,0.014,0.001,0.013,0.007,0.002,0.037,True
918,14:53:02,0.012,0.001,0.012,0.016,0.002,0.044,True
919,14:53:02,0.014,0.001,0.013,0.007,0.002,0.037,True
920,14:53:02,0.012,0.001,0.013,0.007,0.002,1.004,True
921,14:53:03,0.045,0.003,0.063,0.015,0.003,0.132,True
922,14:53:03,0.024,0.001,0.021,0.009,0.002,0.059,True
923,14:53:03,0.016,0.001,0.03,0.008,0.002,0.064,True
924,14:53:03,0.023,0.001,0.03,0.009,0.008,0.072,True
925,14:53:03,0.016,0.001,0.03,0.008,0.002,0.065,True
926,14:53:03,0.02,0.001,0.031,0.008,0.001,0.068,True
927,14:53:03,0.02,0.001,0.019,0.008,0.001,0.05,True
928,14:53:03,0.021,0.001,0.024,0.008,0.001,0.063,True
929,14:53:03,0.021,0.001,0.019,0.009,0.002,0.053,True
930,14:53:03,0.019,0.001,0.03,0.008,0.001,0.107,True
931,14:53:04,0.04,0.003,0.065,0.015,0.003,0.129,True
932,14:53:04,0.023,0.002,0.036,0.016,0.002,0.08,True
933,14:53:04,0.017,0.001,0.021,0.009,0.002,0.053,True
934,14:53:04,0.016,0.001,0.019,0.009,0.002,0.049,True
935,14:53:04,0.023,0.001,0.029,0.008,0.002,0.07,True
936,14:53:04,0.02,0.001,0.019,0.008,0.001,0.05,True
937,14:53:04,0.018,0.001,0.029,0.007,0.001,0.057,True
938,14:53:04,0.022,0.001,0.028,0.008,0.001,0.061,True
939,14:53:04,0.023,0.001,0.025,0.009,0.001,0.06,True
940,14:53:05,0.019,0.001,0.021,0.007,0.001,0.104,True
941,14:53:05,0.045,0.003,0.062,0.014,0.003,0.129,True
942,14:53:05,0.021,0.001,0.034,0.015,0.002,0.075,True
943,14:53:05,0.017,0.001,0.038,0.015,0.002,0.074,True
944,14:53:05,0.023,0.001,0.037,0.015,0.002,0.08,True
945,14:53:05,0.024,0.001,0.03,0.008,0.002,0.071,True
946,14:53:05,0.013,0.001,0.031,0.007,0.008,0.061,True
947,14:53:05,0.018,0.001,0.021,0.007,0.001,0.047,True
948,14:53:05,0.023,0.001,0.022,0.009,0.001,0.057,True
949,14:53:05,0.023,0.001,0.028,0.008,0.002,0.069,True
950,14:53:06,0.014,0.001,0.025,0.007,0.002,0.087,True
951,14:53:06,0.045,0.003,0.063,0.015,0.003,0.131,True
952,14:53:06,0.037,0.003,0.053,0.013,0.003,0.109,True
953,14:53:06,0.027,0.007,0.03,0.015,0.002,0.083,True
954,14:53:06,0.024,0.001,0.029,0.009,0.008,0.072,True
955,14:53:06,0.018,0.001,0.03,0.014,0.002,0.066,True
956,14:53:06,0.014,0.001,0.032,0.008,0.002,0.063,True
957,14:53:06,0.012,0.001,0.013,0.008,0.001,0.036,True
958,14:53:06,0.023,0.001,0.026,0.008,0.002,0.061,True
959,14:53:06,0.019,0.001,0.015,0.008,0.001,0.045,True
960,14:53:07,0.015,0.001,0.036,0.016,0.002,0.911,True
961,14:53:07,0.041,0.004,0.052,0.016,0.004,0.12,True
962,14:53:07,0.026,0.002,0.032,0.012,0.003,0.078,True
963,14:53:07,0.021,0.002,0.03,0.011,0.002,0.067,True
964,14:53:07,0.016,0.001,0.03,0.01,0.002,0.062,True
965,14:53:07,0.015,0.001,0.016,0.011,0.002,0.047,True
966,14:53:07,0.014,0.001,0.027,0.01,0.002,0.055,True
967,14:53:07,0.015,0.001,0.024,0.009,0.002,0.051,True
968,14:53:07,0.018,0.001,0.02,0.012,0.002,0.055,True
969,14:53:07,0.016,0.001,0.026,0.012,0.002,0.058,True
970,14:53:08,0.015,0.001,0.016,0.011,0.002,0.082,True
971,14:53:08,0.048,0.004,0.054,0.017,0.004,0.129,True
972,14:53:08,0.019,0.001,0.02,0.011,0.001,0.055,True
973,14:53:08,0.016,0.001,0.018,0.009,0.002,0.047,True
974,14:53:08,0.015,0.001,0.017,0.01,0.002,0.044,True
975,14:53:08,0.014,0.001,0.015,0.009,0.002,0.041,True
976,14:53:08,0.016,0.001,0.024,0.01,0.002,0.053,True
977,14:53:08,0.014,0.001,0.016,0.01,0.002,0.043,True
978,14:53:08,0.016,0.001,0.021,0.011,0.002,0.052,True
979,14:53:08,0.016,0.001,0.039,0.01,0.002,0.068,True
980,14:53:09,0.025,0.002,0.038,5.089,0.004,10.292,True
981,14:53:09,0.032,0.003,0.046,0.013,0.003,0.098,True
982,14:53:09,0.019,0.001,0.023,0.011,0.002,0.058,True
983,14:53:09,0.016,0.001,0.019,0.008,0.002,0.048,True
984,14:53:09,0.016,0.001,0.017,0.01,0.001,0.047,True
985,14:53:09,0.015,0.001,0.015,0.009,0.002,0.042,True
986,14:53:09,0.017,0.001,0.017,0.01,0.002,0.047,True
987,14:53:09,0.017,0.001,0.019,0.009,0.002,0.049,True
988,14:53:09,0.016,0.001,0.017,0.007,0.001,0.043,True
989,14:53:09,0.015,0.001,0.018,0.009,0.001,0.046,True
990,14:53:10,0.025,0.002,0.03,0.01,0.002,0.121,True
991,14:53:10,0.034,0.003,0.043,0.012,0.003,0.097,True
992,14:53:10,0.02,0.002,0.022,0.008,0.002,0.055,True
993,14:53:10,0.02,0.001,0.019,0.008,0.002,0.051,True
994,14:53:10,0.016,0.001,0.017,0.02,0.002,0.057,True
995,14:53:10,0.015,0.001,0.015,0.009,0.155,0.197,True
996,14:53:10,0.016,0.002,0.021,0.008,0.001,0.049,True
997,14:53:10,0.013,0.001,0.013,0.009,0.001,0.038,True
998,14:53:10,0.015,0.001,0.016,0.009,0.002,0.045,True
999,14:53:10,0.013,0.001,0.014,0.007,0.002,0.038,True
1000,14:53:11,0.022,0.002,0.025,0.01,0.002,0.099,True
1001,14:53:11,0.031,0.002,0.037,0.012,0.003,0.087,True
1002,14:53:11,0.017,0.002,0.021,0.009,0.002,0.052,True
1003,14:53:11,0.016,0.001,0.024,0.012,0.002,0.056,True
1004,14:53:11,0.016,0.001,0.016,0.008,0.002,0.044,True
1005,14:53:11,0.013,0.001,0.013,0.007,0.001,0.037,True
1006,14:53:11,0.011,0.001,0.013,0.007,0.001,0.035,True
1007,14:53:11,0.012,0.001,0.012,0.006,0.001,0.032,True
1008,14:53:11,0.014,0.001,0.015,0.007,0.002,0.039,True
1009,14:53:11,0.013,0.001,0.013,0.007,0.001,0.036,True
1010,14:53:12,0.019,0.002,0.022,0.009,0.002,0.089,True
1011,14:53:12,0.038,0.003,0.049,0.014,0.003,0.109,True
1012,14:53:12,0.017,0.001,0.026,0.01,0.002,0.056,True
1013,14:53:12,0.016,0.001,0.018,0.009,0.002,0.047,True
1014,14:53:12,0.017,0.002,0.022,0.009,0.002,0.053,True
1015,14:53:12,0.013,0.001,0.018,0.009,0.001,0.043,True
1016,14:53:12,0.012,0.001,0.012,0.007,0.001,0.033,True
1017,14:53:12,0.011,0.001,0.013,0.007,0.001,0.034,True
1018,14:53:12,0.015,0.001,0.02,0.009,0.002,0.048,True
1019,14:53:13,0.014,0.001,0.015,0.008,0.001,0.04,True
1020,14:53:13,0.02,0.002,0.023,0.01,0.002,0.103,True
1021,14:53:13,0.036,0.003,0.045,0.012,0.003,0.101,True
1022,14:53:13,0.017,0.001,0.021,0.008,0.002,0.05,True
1023,14:53:13,0.017,0.001,0.017,0.009,0.002,0.047,True
1024,14:53:13,0.016,0.001,0.016,0.008,0.002,0.043,True
1025,14:53:13,0.013,0.001,0.023,0.009,0.001,0.048,True
1026,14:53:13,0.015,0.001,5.083,0.01,0.002,5.113,True
1027,14:53:13,0.015,0.001,0.019,0.009,0.002,0.047,True
1028,14:53:13,0.015,0.001,0.017,0.009,0.002,0.045,True
1029,14:53:14,0.016,0.001,0.017,0.011,0.002,0.048,True
1030,14:53:14,0.022,0.002,0.025,0.013,0.002,0.107,True
1031,14:53:14,0.038,0.003,0.047,0.014,0.003,0.107,True
1032,14:53:14,0.022,0.001,0.028,0.013,0.003,0.069,True
1033,14:53:14,0.022,0.001,0.021,0.011,0.002,0.058,True
1034,14:53:14,0.021,0.002,0.021,0.01,0.002,0.058,True
1035,14:53:14,0.016,0.001,0.019,0.01,0.002,0.05,True
1036,14:53:14,0.017,0.001,0.021,0.009,0.002,0.052,True
1037,14:53:14,0.018,0.001,0.025,0.011,0.002,0.058,True
1038,14:53:14,0.018,0.001,0.025,0.011,0.002,0.058,True
1039,14:53:15,0.016,0.001,0.017,0.009,0.002,0.046,True
1040,14:53:15,0.023,0.002,0.031,0.011,0.002,0.113,True
1041,14:53:15,0.046,0.003,0.071,0.029,0.003,0.155,True
1042,14:53:15,0.026,0.002,0.026,0.011,0.002,0.069,True
1043,14:53:15,0.021,0.002,0.02,0.01,0.002,0.056,True
1044,14:53:15,0.023,0.002,0.022,0.01,0.002,0.059,True
1045,14:53:15,0.017,0.001,0.019,0.009,0.002,0.049,True
1046,14:53:15,0.015,0.001,0.015,0.009,0.002,0.043,True
1047,14:53:15,0.019,0.001,0.026,0.01,0.002,0.059,True
1048,14:53:15,0.019,0.002,0.028,0.01,0.002,0.062,True
1049,14:53:16,0.015,0.001,0.026,0.01,0.002,0.055,True
1050,14:53:16,0.018,0.002,5.088,5.12,0.002,15.353,True
1051,14:53:16,0.033,0.003,0.048,0.016,0.003,0.105,True
1052,14:53:16,0.023,0.002,0.04,0.019,0.002,0.087,True
1053,14:53:16,0.017,0.002,0.017,0.007,0.002,0.045,True
1054,14:53:16,0.015,0.001,0.018,0.008,0.002,0.044,True
1055,14:53:16,0.015,0.001,0.015,0.007,0.001,0.041,True
1056,14:53:16,0.013,0.001,0.016,0.007,0.001,0.039,True
1057,14:53:16,0.019,0.002,0.018,0.008,0.002,0.05,True
1058,14:53:16,0.015,0.001,0.016,0.01,0.001,0.043,True
1059,14:53:17,0.018,0.001,0.02,0.009,0.002,0.053,True
1060,14:53:17,0.013,0.001,0.013,0.007,0.001,0.077,True
1061,14:53:17,0.028,0.002,0.039,0.01,0.002,0.083,True
1062,14:53:17,0.022,0.001,0.024,0.01,0.002,0.061,True
1063,14:53:17,0.013,0.001,0.015,0.009,0.001,0.04,True
1064,14:53:17,0.014,0.001,0.016,0.008,0.002,0.042,True
1065,14:53:17,0.013,0.001,0.013,0.009,0.001,0.038,True
1066,14:53:17,0.012,0.001,0.012,0.008,0.001,0.035,True
1067,14:53:17,0.015,0.001,0.019,0.009,0.001,0.045,True
1068,14:53:17,0.013,0.001,0.016,0.007,0.002,0.039,True
1069,14:53:18,0.018,0.002,0.021,0.01,0.002,0.054,True
1070,14:53:18,0.023,0.003,0.029,0.009,0.002,0.117,True
1071,14:53:18,0.028,0.003,0.036,0.011,0.002,0.082,True
1072,14:53:18,0.02,0.002,0.026,0.01,0.002,0.06,True
1073,14:53:18,0.016,0.001,0.019,0.009,0.002,0.048,True
1074,14:53:18,0.017,0.001,0.015,0.008,0.002,0.043,True
1075,14:53:18,0.014,0.001,0.014,0.007,0.002,0.039,True
1076,14:53:18,0.012,0.001,0.013,0.007,0.002,0.035,True
1077,14:53:18,0.017,0.001,0.02,0.008,0.002,0.049,True
1078,14:53:18,0.014,0.001,0.024,0.008,0.001,0.048,True
1079,14:53:19,0.02,0.002,0.024,0.011,0.002,0.059,True
1080,14:53:19,0.017,0.001,0.023,0.008,0.002,0.086,True
1081,14:53:19,0.042,0.003,0.064,0.027,0.003,0.14,True
1082,14:53:19,0.023,0.001,0.025,0.009,0.002,0.062,True
1083,14:53:19,0.017,0.001,0.019,0.008,0.002,0.048,True
1084,14:53:19,0.015,0.001,0.016,0.008,0.002,0.041,True
1085,14:53:19,0.013,0.001,0.015,0.007,0.001,0.039,True
1086,14:53:19,0.012,0.001,0.016,0.007,0.001,0.038,True
1087,14:53:19,0.015,0.001,0.018,0.008,0.002,0.044,True
1088,14:53:19,0.013,0.001,0.013,0.007,0.001,0.037,True
1089,14:53:20,0.02,0.002,0.027,0.009,0.002,0.061,True
1090,14:53:20,0.014,0.001,0.02,0.008,0.002,0.088,True
1091,14:53:20,0.035,0.003,0.042,0.012,0.003,0.096,True
1092,14:53:20,0.02,0.001,0.024,0.009,0.002,0.057,True
1093,14:53:20,0.018,0.001,0.019,0.01,0.002,0.051,True
1094,14:53:20,0.014,0.001,0.017,0.008,0.139,0.181,True
1095,14:53:20,0.016,0.001,5.077,0.011,0.002,5.107,True
1096,14:53:20,0.014,0.001,0.021,0.009,0.001,0.048,True
1097,14:53:20,0.015,0.001,0.018,0.009,0.002,0.045,True
1098,14:53:21,0.013,0.001,0.014,0.007,0.001,0.037,True
1099,14:53:21,0.023,0.002,0.027,0.013,0.002,0.069,True
1100,14:53:21,0.017,0.001,0.024,0.009,0.002,0.104,True
1101,14:53:21,0.041,0.003,0.049,0.015,0.004,0.114,True
1102,14:53:21,0.038,0.002,0.049,0.039,0.003,0.133,True
1103,14:53:21,0.022,0.001,0.024,0.011,0.002,0.062,True
1104,14:53:21,0.021,0.002,0.02,0.01,0.002,0.056,True
1105,14:53:21,0.016,0.001,0.029,0.027,0.002,0.077,True
1106,14:53:21,0.019,0.001,0.019,0.012,0.002,0.055,True
1107,14:53:21,0.017,0.001,0.02,0.011,0.002,0.052,True
1108,14:53:22,0.016,0.001,0.016,0.01,0.002,0.045,True
1109,14:53:22,0.021,0.002,0.026,0.01,0.002,0.062,True
1110,14:53:22,0.015,0.001,0.018,0.01,0.002,0.111,True
1111,14:53:22,0.047,0.004,0.05,0.014,0.003,0.12,True
1112,14:53:22,0.026,0.002,0.03,0.012,0.003,0.072,True
1113,14:53:22,0.014,0.001,0.015,0.007,0.001,0.039,True
1114,14:53:22,0.013,0.001,0.012,0.007,0.001,0.035,True
1115,14:53:22,0.011,0.001,0.011,0.008,0.001,0.033,True
1116,14:53:22,0.014,0.001,0.017,0.008,0.001,0.042,True
1117,14:53:22,0.015,0.001,0.016,0.009,0.002,0.043,True
1118,14:53:23,0.013,0.001,0.017,0.008,0.002,0.042,True
1119,14:53:23,0.018,0.001,0.023,0.01,0.002,0.055,True
1120,14:53:23,0.013,0.001,0.016,0.008,0.001,0.823,True
1121,14:53:23,0.034,0.003,0.04,0.013,0.003,0.094,True
1122,14:53:23,0.016,0.001,0.028,0.009,0.001,0.057,True
1123,14:53:23,0.016,0.001,0.021,0.008,0.002,0.05,True
1124,14:53:23,0.014,0.001,0.023,0.008,0.001,0.049,True
1125,14:53:23,0.012,0.001,0.021,0.008,0.001,0.044,True
1126,14:53:23,0.015,0.001,0.016,0.01,0.002,0.045,True
1127,14:53:23,0.016,0.001,0.018,0.01,0.001,0.049,True
1128,14:53:24,0.018,0.001,0.019,0.01,0.002,0.05,True
1129,14:53:24,0.025,0.002,0.033,0.01,0.002,0.073,True
1130,14:53:24,0.019,0.001,0.017,0.008,0.002,0.081,True
1131,14:53:24,0.035,0.003,0.04,0.012,0.003,0.094,True
1132,14:53:24,0.02,0.001,0.021,0.008,0.002,0.052,True
1133,14:53:24,0.015,0.001,0.02,0.009,0.002,0.047,True
1134,14:53:24,0.015,0.001,0.016,0.007,0.002,0.043,True
1135,14:53:24,0.013,0.001,0.015,0.03,0.002,0.061,True
1136,14:53:24,0.017,0.001,0.017,0.008,0.001,0.046,True
1137,14:53:24,0.016,0.001,0.015,0.007,0.001,0.042,True
1138,14:53:25,0.02,0.002,0.024,0.009,0.002,0.057,True
1139,14:53:25,0.016,0.001,0.016,0.008,0.002,0.044,True
1140,14:53:25,0.016,0.001,0.018,0.008,0.002,0.102,True
1141,14:53:25,0.032,0.003,0.04,0.012,0.002,0.091,True
1142,14:53:25,0.02,0.002,0.025,0.01,0.002,0.059,True
1143,14:53:25,0.015,0.001,0.018,0.009,0.001,0.045,True
1144,14:53:25,0.014,0.001,0.016,0.008,0.002,0.041,True
1145,14:53:25,0.015,0.001,0.014,0.007,0.001,0.04,True
1146,14:53:25,0.014,0.001,0.018,0.008,0.001,0.044,True
1147,14:53:25,0.015,0.001,0.015,0.01,0.001,0.043,True
1148,14:53:26,0.016,0.001,0.018,0.007,0.002,0.046,True
1149,14:53:26,0.013,0.001,0.024,0.007,0.001,0.047,True
1150,14:53:26,0.012,0.001,0.02,0.007,0.001,0.079,True
1151,14:53:26,0.04,0.003,0.05,0.026,0.003,0.125,True
1152,14:53:26,0.031,0.002,0.041,0.012,0.002,0.09,True
1153,14:53:26,0.027,0.002,0.037,0.011,0.002,0.081,True
1154,14:53:26,0.016,0.001,0.017,0.008,0.002,0.045,True
1155,14:53:26,0.012,0.001,0.013,0.01,0.001,0.038,True
1156,14:53:26,0.016,0.001,0.018,0.018,0.002,0.056,True
1157,14:53:26,0.013,0.001,0.024,0.008,0.001,0.049,True
1158,14:53:27,0.021,0.002,0.026,0.009,0.002,0.061,True
1159,14:53:27,0.017,0.001,0.019,0.01,0.002,0.05,True
1160,14:53:27,0.013,0.001,0.023,0.008,0.001,0.089,True
1161,14:53:27,0.033,0.002,0.04,0.013,0.002,0.091,True
1162,14:53:27,0.023,0.002,0.03,0.011,0.002,0.07,True
1163,14:53:27,0.016,0.001,0.037,0.01,0.002,0.067,True
1164,14:53:27,0.016,0.001,0.03,0.01,0.002,0.06,True
1165,14:53:27,0.014,0.001,10.142,0.014,0.002,10.174,True
1166,14:53:27,0.016,0.001,0.022,0.009,0.002,0.051,True
1167,14:53:28,0.016,0.001,0.015,0.007,0.002,0.042,True
1168,14:53:28,0.026,0.002,0.028,0.011,0.002,0.071,True
1169,14:53:28,0.015,0.001,0.017,0.008,0.002,0.044,True
1170,14:53:28,0.014,0.001,0.025,0.008,0.001,0.092,True
1171,14:53:28,0.032,0.003,0.038,0.012,0.003,0.089,True
1172,14:53:28,0.018,0.001,0.021,0.009,0.002,0.052,True
1173,14:53:28,0.013,0.001,0.016,0.007,0.001,0.039,True
1174,14:53:28,0.012,0.001,0.012,0.006,0.001,0.033,True
1175,14:53:28,0.011,0.001,0.012,0.007,0.001,0.033,True
1176,14:53:28,0.015,0.001,0.018,0.009,0.001,0.045,True
1177,14:53:29,0.013,0.001,0.022,0.007,0.001,0.046,True
1178,14:53:29,0.032,0.002,0.038,0.012,0.003,0.088,True
1179,14:53:29,0.015,0.001,0.021,0.008,0.001,0.048,True
1180,14:53:29,0.015,0.001,0.02,0.008,0.001,0.08,True
1181,14:53:29,0.037,0.003,0.045,0.013,0.003,0.102,True
1182,14:53:29,0.039,0.004,0.049,0.025,0.003,0.122,True
1183,14:53:29,0.034,0.003,0.043,0.013,0.003,0.098,True
1184,14:53:29,0.025,0.002,0.03,0.01,0.002,0.071,True
1185,14:53:29,0.018,0.001,0.02,0.01,0.002,0.053,True
1186,14:53:29,0.016,0.001,0.021,0.008,0.002,0.05,True
1187,14:53:30,0.014,0.001,0.019,0.009,0.002,0.045,True
1188,14:53:30,0.031,0.003,5.095,0.014,0.003,5.147,True
1189,14:53:30,0.014,0.001,10.148,0.009,0.002,10.175,True
1190,14:53:30,0.016,0.001,0.021,0.008,0.002,0.091,True
1191,14:53:30,0.04,0.003,0.047,0.013,0.003,0.109,True
1192,14:53:30,0.02,0.001,0.025,0.009,0.002,0.059,True
1193,14:53:30,0.014,0.001,0.015,0.009,0.134,0.175,True
1194,14:53:30,0.017,0.001,0.026,0.009,0.002,0.057,True
1195,14:53:30,0.016,0.001,0.017,0.011,0.001,0.048,True
1196,14:53:30,0.016,0.001,0.018,0.008,0.001,0.046,True
1197,14:53:31,0.017,0.001,0.021,0.009,0.001,0.05,True
1198,14:53:31,0.029,0.003,0.033,0.011,0.003,0.08,True
1199,14:53:31,0.018,0.001,0.022,0.009,0.002,0.053,True
1200,14:53:31,0.016,0.001,0.021,0.009,0.001,0.092,True
1201,14:53:31,0.038,0.004,0.045,0.013,0.003,0.105,True
1202,14:53:31,0.026,0.001,0.027,0.01,0.002,0.068,True
1203,14:53:31,0.016,0.001,0.018,0.008,0.002,0.046,True
1204,14:53:31,0.018,0.001,0.02,0.008,0.002,0.05,True
1205,14:53:31,0.017,0.001,0.018,0.01,0.001,0.049,True
1206,14:53:31,0.016,0.001,0.019,0.009,0.002,0.047,True
1207,14:53:32,0.016,0.001,0.029,0.008,0.002,0.057,True
1208,14:53:32,0.034,0.003,0.037,0.011,0.003,0.091,True
1209,14:53:32,0.02,0.001,0.019,0.008,0.002,0.052,True
1210,14:53:32,0.018,0.001,0.019,0.008,0.002,0.081,True
1211,14:53:32,0.034,0.003,0.043,0.014,0.003,0.099,True
1212,14:53:32,0.02,0.001,0.026,0.01,0.002,0.06,True
1213,14:53:32,0.022,0.001,0.019,0.009,0.002,0.055,True
1214,14:53:32,0.015,0.001,0.018,0.009,0.002,0.045,True
1215,14:53:32,0.023,0.002,0.025,0.011,0.002,0.063,True
1216,14:53:32,0.02,0.001,0.022,0.013,0.002,0.06,True
