tick,timestamp,gas_read_ms,temp_read_ms,fusion_ms,vision_ms,actuation_ms,mqtt_publish_ms,total_loop_ms,budget_ok
952,13:36:35:725,0.035,0.002,0.136,0.001,0.071,0.003,0.25,TRUE
953,13:36:35:825,0.027,0.001,0.11,0.001,0.058,0.003,0.202,TRUE
954,13:36:35:925,0.017,0.001,0.077,0.001,0.057,0.003,0.157,TRUE
955,13:36:36:025,0.023,0.001,0.069,0.001,0.057,0.002,0.155,TRUE
956,13:36:36:126,0.023,0.001,0.076,0.001,0.061,0.002,0.166,TRUE
957,13:36:36:226,0.023,0.001,0.094,0.001,0.06,0.002,0.182,TRUE
958,13:36:36:326,0.022,0.001,0.076,0.001,0.06,0.002,0.162,TRUE
959,13:36:36:426,0.023,0.001,0.074,0.001,0.059,0.002,0.161,TRUE
960,13:36:36:612,0.015,0.003,35.527,0.002,35.482,0.004,86.356,TRUE
961,13:36:36:729,0.068,0.006,61.017,0.004,30.538,0.005,91.641,TRUE
962,13:36:36:738,0.025,0.001,0.116,0.001,0.065,0.003,0.212,TRUE
963,13:36:36:838,0.026,0.002,0.107,0.001,0.055,0.003,0.196,TRUE
964,13:36:36:938,0.029,0.001,0.12,0.002,0.079,0.003,0.236,TRUE
965,13:36:37:038,0.026,0.001,0.122,0.001,0.082,0.003,0.236,TRUE
966,13:36:37:138,0.028,0.002,0.129,0.001,0.081,0.003,0.245,TRUE
967,13:36:37:238,0.021,0.001,0.105,0.001,0.069,0.003,0.201,TRUE
968,13:36:37:338,0.017,0.001,0.088,0.001,0.068,0.002,0.179,TRUE
969,13:36:37:438,0.023,0.001,0.079,0.001,0.047,0.002,0.154,TRUE
970,13:36:37:539,0.017,0.001,0.111,0.001,0.066,0.002,0.284,TRUE
971,13:36:37:639,0.042,0.004,0.219,0.003,0.094,0.004,0.368,TRUE
972,13:36:37:739,0.038,0.003,0.14,0.002,0.088,0.004,0.276,TRUE
973,13:36:37:839,0.031,0.002,0.136,0.001,0.065,0.003,0.239,TRUE
974,13:36:37:939,0.021,0.001,0.094,0.001,0.07,0.003,0.192,TRUE
975,13:36:38:039,0.025,0.001,0.089,0.001,0.07,0.002,0.19,TRUE
976,13:36:38:139,0.028,0.001,0.098,0.001,0.07,0.002,0.203,TRUE
977,13:36:38:239,0.022,0.001,0.091,0.001,0.07,0.009,0.196,TRUE
978,13:36:38:339,0.027,0.002,0.063,0.001,0.037,0.002,0.133,TRUE
979,13:36:38:439,0.032,0.002,0.088,0.001,0.031,0.002,0.156,TRUE
980,13:36:38:539,0.022,0.001,0.049,0.001,0.028,0.002,0.147,TRUE
981,13:36:38:639,0.034,0.003,0.121,0.001,0.039,0.003,0.203,TRUE
982,13:36:38:739,0.027,0.002,0.093,0.001,0.033,0.003,0.161,TRUE
983,13:36:38:879,0.022,0.002,15.281,0.001,20.305,0.003,35.615,TRUE
984,13:36:38:960,0.018,0.001,5.133,0.001,10.172,0.002,15.329,TRUE
985,13:36:39:077,0.015,0.001,20.309,0.001,10.164,0.002,30.493,TRUE
986,13:36:39:147,0.022,0.001,0.071,0.001,0.059,0.002,0.157,TRUE
987,13:36:39:247,0.023,0.001,0.066,0.001,0.037,0.002,0.131,TRUE
988,13:36:39:347,0.023,0.001,0.066,0.001,0.059,0.002,0.154,TRUE
989,13:36:39:447,0.023,0.001,0.078,0.001,0.057,0.002,0.163,TRUE
990,13:36:39:548,0.018,0.002,0.091,0.001,0.066,0.002,0.255,TRUE
991,13:36:39:648,0.038,0.003,0.163,0.002,0.079,0.004,0.291,TRUE
992,13:36:39:748,0.033,0.002,0.119,0.001,0.062,0.003,0.229,TRUE
993,13:36:39:848,0.027,0.001,0.109,0.001,0.058,0.003,0.2,TRUE
994,13:36:39:948,0.025,0.001,0.096,0.001,0.053,0.002,0.186,TRUE
995,13:36:40:048,0.023,0.001,0.078,0.001,0.04,0.002,0.146,TRUE
996,13:36:40:148,0.022,0.002,0.081,0.001,0.06,0.003,0.169,TRUE
997,13:36:40:248,0.023,0.001,0.072,0.001,0.057,0.002,0.156,TRUE
998,13:36:40:348,0.021,0.001,0.071,0.001,0.05,0.002,0.146,TRUE
999,13:36:40:448,0.021,0.001,0.083,0.001,0.038,0.002,0.146,TRUE
1000,13:36:40:550,0.02,0.001,0.115,0.001,0.065,0.163,2.398,TRUE
1001,13:36:40:648,0.042,0.003,0.142,0.001,0.05,0.003,0.244,TRUE
1002,13:36:40:748,0.021,0.001,0.069,0.001,0.04,0.002,0.135,TRUE
1003,13:36:40:848,0.016,0.001,0.062,0.001,0.037,0.002,0.119,TRUE
1004,13:36:40:948,0.014,0.001,0.054,0.001,0.045,0.002,0.118,TRUE
1005,13:36:41:048,0.016,0.001,0.059,0.001,0.039,0.002,0.12,TRUE
1006,13:36:41:148,0.019,0.001,0.065,0.001,0.045,0.002,0.134,TRUE
1007,13:36:41:281,0.015,0.001,10.185,0.001,10.225,0.003,20.431,TRUE
1008,13:36:41:408,0.015,0.001,25.413,0.001,20.284,0.002,45.717,TRUE
